Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R3	Early_Gilteritinib_MOLM14_FLT3_R1	Late_Gilteritinib_MOLM14_FLT3_R1	Early_Gilteritinib_MOLM14_FLT3_R2	Late_Gilteritinib_MOLM14_FLT3_R2	parenta_MOLM14_R4	Early_Gilteritinib_MOLM14_FLT3_R3	Late_Gilteritinib_MOLM14_FLT3_R3	Early_Gilteritinib_MOLM14_FLT3_R4	Late_Gilteritinib_MOLM14_FLT3_R4	Pool02
sp|Q9H930|SP14L_HUMAN	Q9H930	SP14L_HUMAN	SP140L	580	Homo sapiens	Nuclear body protein SP140-like protein	1:Experimental evidence at protein level	4.83	0.9971	0.9987	3	1	2	3	1	2	76319447	143122	76319447	10K(229.1629), 1C(57.0214), 7K(229.1629), N-term(229.1692)			406.898.945	575.555.586	760.543.711	507.665.439	521.204.824	491.896.621	613.900.469	747.489.775	927.471.875	670.934.258	918.420.869
sp|Q2M2Z5|KIZ_HUMAN	Q2M2Z5	KIZ_HUMAN	KIZ	673	Homo sapiens	Centrosomal protein kizuna	1:Experimental evidence at protein level	2.67	0.9970	0.9972	2	2	2	2	2	2	4340520	4340520	4340520	6C(57.0214), N-term(229.1692)			425.886.016	321.277.188	473.099.375	424.824.180	469.694.609	339.036.172	405.951.133	403.964.609	441.479.648	712.497.969	637.512.695
sp|Q6NSZ9|ZSC25_HUMAN	Q6NSZ9	ZSC25_HUMAN	ZSCAN25	544	Homo sapiens	Zinc finger and SCAN domain-containing protein 25	1:Experimental evidence at protein level	7.35	0.9970	0.9990	3	3	3	3	3	3	11618461	11618461	11618461	N-term(229.1692)			259.929.639	227.765.958	252.017.847	153.041.177	205.345.621	267.556.129	235.750.983	311.196.643	288.856.873	380.675.177	900.683.254
sp|Q7Z309|PBIR2_HUMAN	Q7Z309	PBIR2_HUMAN	PABIR2	247	Homo sapiens	PABIR family member 2	1:Experimental evidence at protein level	4.86	0.9970	0.9989	1	1	1	2	2	2	10640320	10640320	10640320	12K(229.1629), 2K(229.1629), N-term(229.1692)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|Q86WH2|RASF3_HUMAN	Q86WH2	RASF3_HUMAN	RASSF3	238	Homo sapiens	Ras association domain-containing protein 3	1:Experimental evidence at protein level	5.88	0.9970	0.9990	1	1	1	1	1	1	16016268	16016268	16016268	14K(229.1629), 4K(229.1629), N-term(229.1692)			479.700.664	277.727.637	403.771.758	344.053.203	432.242.305	350.181.797	253.948.086	333.644.961	371.994.531	527.981.758	497.262.383
sp|Q92581|SL9A6_HUMAN	Q92581	SL9A6_HUMAN	SLC9A6	701	Homo sapiens	Sodium/hydrogen exchanger 6	1:Experimental evidence at protein level	2.14	0.9970	0.9989	2	2	2	2	2	2	26787183	26787183	26787183	7K(229.1629), N-term(229.1692)			1.092.148.379	735.830.898	1.120.223.008	772.912.168	889.100.820	688.361.230	898.095.645	740.824.980	780.313.984	1.146.954.883	1.216.832.109
sp|Q9ULM2|ZN490_HUMAN	Q9ULM2	ZN490_HUMAN	ZNF490	529	Homo sapiens	Zinc finger protein 490	1:Experimental evidence at protein level	1.89	0.9970	0.9990	1	1	1	1	1	1	0	0	0	5C(57.0214), N-term(229.1692)			160.724.795	87.269.004	80.311.880	98.029.307	129.355.156	101.183.613	97.606.855	89.589.160	134.179.922	135.385.615	160.227.705
sp|A2VDJ0|T131L_HUMAN	A2VDJ0	T131L_HUMAN	TMEM131L	1609	Homo sapiens	Transmembrane protein 131-like	1:Experimental evidence at protein level	0.44	0.9969	0.9990	1	1	1	1	1	1	0	0	0	1C(57.0214), 7K(229.1629), N-term(229.1692)			187.640.918	65.377.021	146.145.693	115.829.258	212.540.000	85.018.086	91.093.438	85.918.867	173.520.566	208.165.723	205.686.035
sp|Q6Y2X3|DJC14_HUMAN	Q6Y2X3	DJC14_HUMAN	DNAJC14	702	Homo sapiens	DnaJ homolog subfamily C member 14	2:Experimental evidence at transcript level	1.14	0.9969	0.9983	1	1	1	1	1	1	0	0	0	8K(229.1629), N-term(229.1692)			193.469.355	122.975.205	171.117.090	110.805.176	209.693.164	138.914.873	129.689.863	136.192.559	137.571.357	212.946.113	198.490.430
sp|P05976|MYL1_HUMAN	P05976	MYL1_HUMAN	MYL1	194	Homo sapiens	Myosin light chain 1/3, skeletal muscle isoform	1:Experimental evidence at protein level	10.31	0.9968	0.9990	2	1	1	6	2	2	100636315	8852477	100636315	N-term(229.1692)			3.111.994.551	2.579.093.652	2.438.867.656	2.706.641.016	3.224.386.035	2.051.315.830	2.600.260.742	2.394.670.449	2.343.598.555	3.179.739.502	4.288.907.266
sp|P35626|ARBK2_HUMAN	P35626	ARBK2_HUMAN	GRK3	688	Homo sapiens	Beta-adrenergic receptor kinase 2	1:Experimental evidence at protein level	16.86	0.9968	0.9990	10	1	1	41	1	1	726948208	5539095	726948208	10K(229.1629), 4C(57.0214), N-term(229.1692)			18.420.601.609	14.917.997.321	27.933.068.728	17.388.439.426	26.056.552.672	17.171.843.762	19.094.157.195	22.532.442.871	17.973.534.586	25.093.840.798	27.897.849.741
sp|Q93096|TP4A1_HUMAN	Q93096	TP4A1_HUMAN	PTP4A1	173	Homo sapiens	Protein tyrosine phosphatase type IVA 1	1:Experimental evidence at protein level	30.64	0.9968	0.9990	5	1	1	12	1	1	159632436	1279592	159632436	15K(229.1629), N-term(229.1692)			6.373.048.899	6.858.295.625	7.944.153.457	7.348.837.791	7.186.956.777	6.085.064.810	8.440.936.924	7.878.407.354	7.342.049.458	7.850.858.787	9.403.705.608
sp|O00187|MASP2_HUMAN	O00187	MASP2_HUMAN	MASP2	686	Homo sapiens	Mannan-binding lectin serine protease 2	1:Experimental evidence at protein level	2.92	0.9967	0.9990	2	2	2	4	4	4	35382309	35382309	35382309	13K(229.1629), 7K(229.1629), N-term(229.1692)			8.128.664.844	5.859.700.254	2.835.860.859	13.103.060.312	8.878.826.875	4.098.322.969	5.374.443.164	4.380.655.586	26.006.259.453	15.913.470.938	18.899.808.594
sp|Q7L804|RFIP2_HUMAN	Q7L804	RFIP2_HUMAN	RAB11FIP2	512	Homo sapiens	Rab11 family-interacting protein 2	1:Experimental evidence at protein level	4.88	0.9967	0.9990	2	0	0	3	0	0	8001420	0	8001420				1.306.373.330	1.189.394.023	1.362.557.988	1.455.162.363	1.486.220.156	952.366.113	1.274.929.238	1.033.966.738	1.176.323.438	1.385.963.691	1.515.135.859
sp|Q8NG68|TTL_HUMAN	Q8NG68	TTL_HUMAN	TTL	377	Homo sapiens	Tubulin--tyrosine ligase	1:Experimental evidence at protein level	3.71	0.9966	0.9990	1	1	1	1	1	1	0	0	0	14K(229.1629), N-term(229.1692)			95.423.477	82.190.918	98.893.535	96.986.895	173.470.195	99.581.025	92.104.082	101.767.246	96.472.441	165.173.730	177.143.691
sp|Q9H8M7|MINY3_HUMAN	Q9H8M7	MINY3_HUMAN	MINDY3	445	Homo sapiens	Ubiquitin carboxyl-terminal hydrolase MINDY-3	1:Experimental evidence at protein level	4.94	0.9966	0.9990	2	2	2	3	3	3	12068208	12068208	12068208	15K(229.1629), 7K(229.1629), N-term(229.1692)			631.919.263	339.427.988	620.775.850	478.694.753	859.461.831	521.829.658	473.139.863	490.356.621	401.392.324	533.243.428	745.686.416
sp|Q9HBD1|RC3H2_HUMAN	Q9HBD1	RC3H2_HUMAN	RC3H2	1191	Homo sapiens	Roquin-2	1:Experimental evidence at protein level	4.79	0.9966	0.9990	4	1	1	6	2	2	7870470	0	7870470	N-term(229.1692)			590.237.375	413.555.867	568.777.905	497.795.825	617.541.143	468.652.419	481.675.266	522.260.000	509.323.943	723.290.513	778.495.039
sp|Q9H813|PACC1_HUMAN	Q9H813	PACC1_HUMAN	PACC1	350	Homo sapiens	Proton-activated chloride channel	1:Experimental evidence at protein level	2.57	0.9965	0.9990	1	1	1	2	2	2	13312726	13312726	13312726	N-term(229.1692)			664.652.969	837.435.820	900.574.609	756.592.246	761.191.934	649.341.055	851.215.898	925.030.664	886.591.719	1.080.934.297	1.082.222.500
sp|P05787|K2C8_HUMAN	P05787	K2C8_HUMAN	KRT8	483	Homo sapiens	Keratin, type II cytoskeletal 8	1:Experimental evidence at protein level	6.42	0.9964	0.9966	5	1	1	8	1	1	1051476568	0	1051476568	N-term(229.1692)			7.442.037.686	6.457.288.359	11.777.697.979	8.109.264.375	13.624.978.506	5.174.736.475	8.275.089.551	6.744.520.283	7.240.879.556	10.702.784.268	8.993.211.289
sp|P12829|MYL4_HUMAN	P12829	MYL4_HUMAN	MYL4	197	Homo sapiens	Myosin light chain 4	1:Experimental evidence at protein level	10.66	0.9963	0.9990	2	2	2	5	5	5	78908940	78908940	78908940	N-term(229.1692)			232.737.927	186.970.225	271.601.523	182.095.449	235.836.934	169.619.866	246.745.981	281.352.568	176.745.103	269.602.080	330.097.412
sp|P24311|COX7B_HUMAN	P24311	COX7B_HUMAN	COX7B	80	Homo sapiens	Cytochrome c oxidase subunit 7B, mitochondrial	1:Experimental evidence at protein level	10.00	0.9962	0.9990	1	1	1	4	4	4	444424864	444424864	444424864	8K(229.1629), N-term(229.1692)			12.444.794.219	13.793.822.109	18.945.177.734	14.985.130.781	12.755.464.219	12.560.207.109	17.570.297.031	20.582.578.281	15.978.595.391	24.139.199.688	24.085.986.719
sp|Q16352|AINX_HUMAN	Q16352	AINX_HUMAN	INA	499	Homo sapiens	Alpha-internexin	1:Experimental evidence at protein level	6.21	0.9962	0.9983	4	2	2	7	3	3	1197550364	69032174	1197550364	N-term(229.1692)			4.693.151.973	5.307.087.412	8.209.273.535	6.485.437.422	9.906.863.340	4.217.693.730	5.970.269.932	4.900.311.406	5.380.187.188	6.533.273.633	6.955.442.617
sp|Q96JN0|LCOR_HUMAN	Q96JN0	LCOR_HUMAN	LCOR	433	Homo sapiens	Ligand-dependent corepressor	1:Experimental evidence at protein level	4.85	0.9962	0.9990	2	2	2	2	2	2	6738428	6738428	6738428	14K(229.1629), N-term(229.1692)			763.399.199	538.979.141	691.398.979	669.327.891	1.163.451.592	379.128.984	657.117.437	626.676.128	636.468.926	1.072.289.062	801.255.654
sp|Q9BQ65|USB1_HUMAN	Q9BQ65	USB1_HUMAN	USB1	265	Homo sapiens	U6 snRNA phosphodiesterase 1	1:Experimental evidence at protein level	5.28	0.9961	0.9985	2	2	2	2	2	2	30713598	30713598	30713598	7K(229.1629), N-term(229.1692)			122.557.910	166.543.086	304.213.809	129.155.098	153.521.230	142.967.617	239.663.320	254.694.082	178.728.398	151.948.496	251.585.859
sp|P00352|AL1A1_HUMAN	P00352	AL1A1_HUMAN	ALDH1A1	501	Homo sapiens	Aldehyde dehydrogenase 1A1	1:Experimental evidence at protein level	1.80	0.9959	0.9981	1	0	0	3	0	0	58797136	0	58797136				1.358.474.727	813.232.578	565.064.658	777.209.707	833.101.338	645.196.279	959.090.352	1.026.865.254	569.779.639	1.203.014.375	795.696.816
sp|P62891|RL39_HUMAN	P62891	RL39_HUMAN	RPL39	51	Homo sapiens	Large ribosomal subunit protein eL39	1:Experimental evidence at protein level	19.61	0.9959	0.9990	1	0	1	4	0	4	1195003904	0	1195003904	N-term(229.1692)		sp|Q59GN2|R39L5_HUMAN	2.157.604.766	1.833.305.410	2.135.748.008	1.807.954.922	2.468.598.906	1.781.947.617	2.037.014.258	2.257.258.750	1.669.530.215	2.625.474.824	3.792.944.688
sp|A6NCC3|GOG8O_HUMAN	A6NCC3	GOG8O_HUMAN	GOLGA8O	632	Homo sapiens	Golgin subfamily A member 8O	1:Experimental evidence at protein level	12.82	0.9958	0.9990	8	0	7	12	0	10	233881516	0	233881516	10K(229.1629), 11K(229.1629), 13K(229.1629), 15K(229.1629), 7C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)		sp|F8WBI6|GOG8N_HUMAN	7.440.728.564	5.115.735.049	5.216.591.853	4.998.672.312	5.435.995.349	5.140.843.083	5.841.685.750	5.908.774.072	5.299.921.038	7.088.417.473	10.352.442.234
sp|A6NF01|P121B_HUMAN	A6NF01	P121B_HUMAN	POM121B	834	Homo sapiens	Putative nuclear envelope pore membrane protein POM 121B	5:Protein uncertain	12.23	0.9958	0.9990	6	0	0	9	0	0	62528140	0	62528140				3.113.166.836	2.462.254.265	2.689.972.227	2.840.885.427	3.503.656.089	1.906.630.740	2.101.835.522	2.338.678.333	2.866.528.779	3.895.602.119	3.853.053.384
sp|H3BV12|GOG8Q_HUMAN	H3BV12	GOG8Q_HUMAN	GOLGA8Q	632	Homo sapiens	Golgin subfamily A member 8Q	3:Protein inferred from homology	10.44	0.9958	0.9990	7	0	1	10	0	2	233881516	0	233881516	N-term(229.1692)			7.352.269.219	4.991.346.768	5.064.382.461	4.868.937.598	5.317.633.262	5.010.374.316	5.704.317.090	5.708.456.504	5.165.674.062	6.967.677.764	10.150.854.062
sp|O14770|MEIS2_HUMAN	O14770	MEIS2_HUMAN	MEIS2	477	Homo sapiens	Homeobox protein Meis2	1:Experimental evidence at protein level	6.08	0.9958	0.9990	2	0	0	5	0	0	93514944	0	93514944				1.164.162.676	1.158.783.110	1.451.291.895	1.203.363.623	1.337.297.251	1.257.644.717	1.403.592.739	1.726.924.570	1.373.717.939	1.586.267.061	2.052.704.648
sp|P31321|KAP1_HUMAN	P31321	KAP1_HUMAN	PRKAR1B	381	Homo sapiens	cAMP-dependent protein kinase type I-beta regulatory subunit	1:Experimental evidence at protein level	11.55	0.9958	0.9990	5	1	1	12	1	1	245678672	3206096	245678672	16K(229.1629), 2C(57.0214), N-term(229.1692)			6.716.051.074	5.355.127.588	5.675.121.855	6.286.723.726	5.799.818.027	5.566.095.942	7.598.114.756	7.223.450.605	7.553.771.963	8.008.393.438	9.330.515.449
sp|Q5EG05|CAR16_HUMAN	Q5EG05	CAR16_HUMAN	CARD16	197	Homo sapiens	Caspase recruitment domain-containing protein 16	1:Experimental evidence at protein level	13.71	0.9958	0.9990	4	1	1	7	1	1	127389060	19439742	127389060	9K(229.1629), N-term(229.1692)			4.215.194.883	4.194.886.309	4.438.590.820	3.814.811.797	5.228.910.430	3.666.111.699	4.128.357.656	4.064.846.797	3.970.827.461	6.524.359.492	8.845.027.734
sp|Q6FI13|H2A2A_HUMAN	Q6FI13	H2A2A_HUMAN	H2AC18	130	Homo sapiens	Histone H2A type 2-A	1:Experimental evidence at protein level	65.38	0.9958	0.9990	9	0	1	207	0	2	24246999552	0	24246999552	9M(15.9949), N-term(229.1692)			1.163.290.391.091	898.647.684.689	985.654.028.077	1.094.428.700.656	1.264.797.868.819	779.842.644.500	967.213.486.912	795.215.052.644	918.517.966.223	1.175.355.952.294	1.376.108.577.433
sp|Q86U06|RBM23_HUMAN	Q86U06	RBM23_HUMAN	RBM23	439	Homo sapiens	Probable RNA-binding protein 23	1:Experimental evidence at protein level	10.93	0.9958	0.9990	4	1	1	10	2	2	207199556	4642580	207199556	15K(229.1629), N-term(229.1692)			8.207.429.194	4.195.816.663	5.866.576.567	4.876.812.070	7.478.403.579	5.681.272.266	4.948.855.591	4.742.438.940	4.991.831.602	6.174.329.727	7.536.294.272
sp|Q8NHP1|ARK74_HUMAN	Q8NHP1	ARK74_HUMAN	AKR7L	331	Homo sapiens	Aflatoxin B1 aldehyde reductase member 4	2:Experimental evidence at transcript level	20.54	0.9958	0.9990	6	0	0	15	0	0	624516488	0	624516488				8.977.202.224	10.696.531.628	8.120.861.323	12.253.552.864	10.984.018.953	6.844.205.820	11.630.075.010	7.909.324.111	10.738.403.838	12.202.336.050	15.694.295.864
sp|Q96L14|C170L_HUMAN	Q96L14	C170L_HUMAN	CEP170P1	293	Homo sapiens	Cep170-like protein	5:Protein uncertain	26.96	0.9958	0.9990	7	0	0	14	0	0	159284804	0	159284804				7.218.145.488	6.285.722.820	9.192.781.555	6.972.222.534	8.982.225.679	7.707.852.476	9.518.687.568	8.664.633.130	6.721.326.699	9.016.088.901	12.543.358.418
sp|Q9NQL2|RRAGD_HUMAN	Q9NQL2	RRAGD_HUMAN	RRAGD	400	Homo sapiens	Ras-related GTP-binding protein D	1:Experimental evidence at protein level	11.75	0.9958	0.9990	6	1	1	7	1	1	153415046	1443199	153415046	N-term(229.1692)			1.641.936.245	2.163.528.345	2.242.534.258	2.250.268.862	2.158.958.208	1.691.710.659	2.438.932.153	2.346.060.400	2.454.049.214	2.426.055.864	3.353.762.988
sp|Q9UPT6|JIP3_HUMAN	Q9UPT6	JIP3_HUMAN	MAPK8IP3	1336	Homo sapiens	C-Jun-amino-terminal kinase-interacting protein 3	1:Experimental evidence at protein level	3.29	0.9958	0.9990	5	0	0	9	0	0	100801532	0	100801532				3.811.922.344	3.481.636.562	5.222.919.976	3.811.547.549	5.271.499.707	3.163.585.884	4.124.463.284	4.204.989.380	4.122.987.637	5.282.393.936	6.175.074.082
sp|Q9Y2T7|YBOX2_HUMAN	Q9Y2T7	YBOX2_HUMAN	YBX2	364	Homo sapiens	Y-box-binding protein 2	1:Experimental evidence at protein level	11.26	0.9958	0.9990	4	1	1	22	3	3	2235908352	9980915	2235908352	11K(229.1629), N-term(229.1692)			22.514.550.649	12.254.109.814	18.237.216.875	13.654.877.012	16.479.460.596	16.849.013.105	16.853.895.664	16.689.492.119	14.717.400.811	17.070.086.289	24.848.894.082
sp|A2A3N6|PIPSL_HUMAN	A2A3N6	PIPSL_HUMAN	PIPSL	862	Homo sapiens	Putative PIP5K1A and PSMD4-like protein	5:Protein uncertain	5.10	0.9957	0.9990	5	0	0	9	0	0	233758884	0	233758884				4.337.366.777	3.504.704.434	4.664.121.543	3.604.706.855	4.134.601.895	3.825.739.551	4.338.115.752	4.092.184.336	4.336.550.176	4.433.031.445	6.089.425.605
sp|P17066|HSP76_HUMAN	P17066	HSP76_HUMAN	HSPA6	643	Homo sapiens	Heat shock 70 kDa protein 6	1:Experimental evidence at protein level	16.02	0.9957	0.9969	11	0	0	59	0	0	6152846336	0	6152846336				95.235.286.221	64.983.838.108	100.521.930.132	69.796.660.830	89.467.994.961	92.000.094.822	85.070.123.884	98.416.683.096	78.833.995.554	97.532.646.699	139.043.078.994
sp|Q00266|METK1_HUMAN	Q00266	METK1_HUMAN	MAT1A	395	Homo sapiens	S-adenosylmethionine synthase isoform type-1	1:Experimental evidence at protein level	11.65	0.9957	0.9990	4	0	0	7	0	0	681951688	0	681951688				20.959.565.938	8.257.490.488	10.983.967.656	8.856.678.340	12.755.297.158	16.074.990.449	9.077.284.844	9.020.176.738	10.413.612.754	12.250.637.344	17.360.353.164
sp|Q8N680|ZBTB2_HUMAN	Q8N680	ZBTB2_HUMAN	ZBTB2	514	Homo sapiens	Zinc finger and BTB domain-containing protein 2	1:Experimental evidence at protein level	2.14	0.9957	0.9990	1	1	1	1	1	1	1114871	1114871	1114871	11K(229.1629), N-term(229.1692)			89.768.213	64.402.383	65.074.736	76.587.231	60.064.492	69.870.000	61.583.564	61.321.113	71.481.055	104.596.875	171.023.105
sp|O75030|MITF_HUMAN	O75030	MITF_HUMAN	MITF	526	Homo sapiens	Microphthalmia-associated transcription factor	1:Experimental evidence at protein level	8.75	0.9956	0.9990	6	1	1	6	1	1	87215383	0	87215383	N-term(229.1692)			4.318.069.058	2.586.265.731	4.432.649.254	4.161.633.892	5.017.707.136	3.845.763.232	2.855.005.747	3.299.845.203	2.625.269.740	3.286.161.897	5.419.548.118
sp|O75155|CAND2_HUMAN	O75155	CAND2_HUMAN	CAND2	1236	Homo sapiens	Cullin-associated NEDD8-dissociated protein 2	1:Experimental evidence at protein level	4.13	0.9956	0.9990	4	1	1	7	1	1	1195079138	6612192	1195079138	26K(229.1629), 4M(15.9949), N-term(229.1692)			8.367.217.490	5.658.349.951	7.419.669.082	6.471.285.862	10.430.368.572	6.528.829.146	7.013.342.463	6.268.420.918	5.647.811.865	8.966.669.766	8.428.702.573
sp|O95409|ZIC2_HUMAN	O95409	ZIC2_HUMAN	ZIC2	532	Homo sapiens	Zinc finger protein ZIC 2	1:Experimental evidence at protein level	3.95	0.9956	0.9990	2	1	2	2	1	2	11242749	4040543	11242749	10K(229.1629), 11K(229.1629), N-term(229.1692)			380.175.195	0.0000	0.0000	0.0000	0.0000	222.976.543	0.0000	180.067.969	0.0000	131.203.457	155.440.566
sp|Q92569|P55G_HUMAN	Q92569	P55G_HUMAN	PIK3R3	461	Homo sapiens	Phosphatidylinositol 3-kinase regulatory subunit gamma	1:Experimental evidence at protein level	12.36	0.9956	0.9990	8	1	1	19	1	1	180019652	2765020	180019652	15K(229.1629), N-term(229.1692)			11.880.652.285	14.050.871.548	15.450.461.748	11.762.126.284	16.671.104.116	12.346.997.354	16.427.698.970	18.827.000.635	15.341.524.512	19.045.988.301	22.811.179.004
sp|Q9H469|FXL15_HUMAN	Q9H469	FXL15_HUMAN	FBXL15	300	Homo sapiens	F-box/LRR-repeat protein 15	1:Experimental evidence at protein level	2.33	0.9956	0.9990	1	1	1	1	1	1	0	0	0				0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|Q9NZU5|LMCD1_HUMAN	Q9NZU5	LMCD1_HUMAN	LMCD1	365	Homo sapiens	LIM and cysteine-rich domains protein 1	1:Experimental evidence at protein level	2.74	0.9954	0.9990	1	1	1	2	2	2	3453924	3453924	3453924	10K(229.1629), 1C(57.0214)			29.154.902	103.092.061	20.457.961	46.730.815	0.0000	17.703.427	18.789.937	17.634.871	64.050.308	20.348.350	178.702.832
sp|Q9Y689|ARL5A_HUMAN	Q9Y689	ARL5A_HUMAN	ARL5A	179	Homo sapiens	ADP-ribosylation factor-like protein 5A	1:Experimental evidence at protein level	5.03	0.9954	0.9989	1	1	1	2	2	2	5596047	5596047	5596047	9K(229.1629), N-term(229.1692)			1.244.084.631	905.329.891	1.519.520.571	945.309.854	1.206.347.905	618.175.747	991.714.214	524.706.716	1.256.961.663	1.064.308.401	1.863.274.688
sp|O14683|P5I11_HUMAN	O14683	P5I11_HUMAN	TP53I11	189	Homo sapiens	Tumor protein p53-inducible protein 11	1:Experimental evidence at protein level	11.64	0.9953	0.9990	2	2	2	3	3	3	48314506	48314506	48314506	7K(229.1629), N-term(229.1692)			1.064.496.719	713.808.945	1.355.687.695	1.034.926.289	1.293.691.230	821.433.438	837.166.621	1.350.422.715	662.873.438	2.025.770.156	1.678.369.766
sp|P98161|PKD1_HUMAN	P98161	PKD1_HUMAN	PKD1	4303	Homo sapiens	Polycystin-1	1:Experimental evidence at protein level	0.16	0.9952	0.9990	1	1	1	3	3	3	29367970	29367970	29367970	N-term(229.1692)			708.436.602	708.773.916	1.518.687.793	536.522.080	877.761.377	779.345.742	1.080.131.602	1.306.958.145	1.039.920.234	936.867.480	1.294.625.645
sp|Q6IQ19|CCSAP_HUMAN	Q6IQ19	CCSAP_HUMAN	CCSAP	270	Homo sapiens	Centriole, cilia and spindle-associated protein	1:Experimental evidence at protein level	4.81	0.9952	0.9990	1	1	1	1	1	1	0	0	0	12M(15.9949), 13K(229.1629), 1M(15.9949), 8K(229.1629)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|Q7KYR7|BT2A1_HUMAN	Q7KYR7	BT2A1_HUMAN	BTN2A1	527	Homo sapiens	Butyrophilin subfamily 2 member A1	1:Experimental evidence at protein level	1.33	0.9952	0.9987	1	0	1	1	0	1	0	0	0	1C(57.0214), 7K(229.1629), N-term(229.1692)			555.080.938	333.202.539	452.953.984	430.538.008	634.413.789	364.109.062	339.768.711	369.266.523	342.048.320	658.288.594	820.548.125
sp|Q9P2G9|KLHL8_HUMAN	Q9P2G9	KLHL8_HUMAN	KLHL8	620	Homo sapiens	Kelch-like protein 8	1:Experimental evidence at protein level	2.42	0.9952	0.9989	1	1	1	1	1	1	0	0	0	15K(229.1629), N-term(229.1692)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|P47736|RPGP1_HUMAN	P47736	RPGP1_HUMAN	RAP1GAP	663	Homo sapiens	Rap1 GTPase-activating protein 1	1:Experimental evidence at protein level	2.41	0.9951	0.9989	2	1	1	4	1	1	34416976	0	34416976	N-term(229.1692)			1.712.431.826	1.747.586.995	2.350.968.896	1.958.264.570	2.314.744.785	1.831.910.332	1.993.773.330	2.859.893.408	1.967.911.958	2.450.806.943	3.341.705.410
sp|Q5T5U3|RHG21_HUMAN	Q5T5U3	RHG21_HUMAN	ARHGAP21	1958	Homo sapiens	Rho GTPase-activating protein 21	1:Experimental evidence at protein level	0.72	0.9951	0.9990	2	2	2	3	3	3	36876962	36876962	36876962	7K(229.1629), N-term(229.1692)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|Q16621|NFE2_HUMAN	Q16621	NFE2_HUMAN	NFE2	373	Homo sapiens	Transcription factor NF-E2 45 kDa subunit	1:Experimental evidence at protein level	1.88	0.9950	0.9963	1	0	1	1	0	1	199989248	0	199989248	6C(57.0214), N-term(229.1692)			576.286.367	297.960.469	375.633.164	657.369.453	674.364.062	500.903.984	321.000.176	519.369.883	235.774.277	990.740.391	596.364.453
sp|O94991|SLIK5_HUMAN	O94991	SLIK5_HUMAN	SLITRK5	958	Homo sapiens	SLIT and NTRK-like protein 5	1:Experimental evidence at protein level	2.71	0.9947	0.9990	1	1	1	1	1	1	1988304	1988304	1988304	26K(229.1629), N-term(229.1692)			131.369.355	99.728.887	127.828.496	0.0000	106.914.766	83.777.637	106.365.898	111.845.352	134.929.414	83.933.643	128.921.221
sp|Q13216|ERCC8_HUMAN	Q13216	ERCC8_HUMAN	ERCC8	396	Homo sapiens	DNA excision repair protein ERCC-8	1:Experimental evidence at protein level	1.77	0.9945	0.9990	1	1	1	1	1	1	5769656	5769656	5769656	4C(57.0214), 7K(229.1629)			136.319.932	81.749.048	116.929.326	98.966.680	141.750.244	101.872.881	115.894.785	103.135.068	66.246.948	138.795.322	144.861.377
sp|P17041|ZNF32_HUMAN	P17041	ZNF32_HUMAN	ZNF32	273	Homo sapiens	Zinc finger protein 32	1:Experimental evidence at protein level	5.86	0.9941	0.9979	2	2	2	3	3	3	5242272	5242272	5242272	N-term(229.1692)			339.007.197	501.177.803	608.281.406	506.022.402	439.906.123	354.678.047	523.052.393	625.411.172	735.943.379	544.687.139	804.542.695
sp|Q9H4I9|EMRE_HUMAN	Q9H4I9	EMRE_HUMAN	SMDT1	107	Homo sapiens	Essential MCU regulator, mitochondrial	1:Experimental evidence at protein level	28.97	0.9937	0.9971	2	2	2	2	2	2	11207286	11207286	11207286	10K(229.1629), 7K(229.1629), N-term(229.1692)			286.050.371	623.316.289	632.201.367	624.620.215	508.101.445	401.978.516	734.386.875	728.120.469	1.143.472.695	942.377.188	1.038.633.398
sp|Q2NL68|PRSR3_HUMAN	Q2NL68	PRSR3_HUMAN	PROSER3	480	Homo sapiens	Proline and serine-rich protein 3	1:Experimental evidence at protein level	3.75	0.9934	0.9990	2	2	2	2	2	2	8566206	8566206	8566206	N-term(229.1692)			407.948.408	302.572.988	621.145.039	217.979.009	380.256.992	420.892.012	405.273.320	573.758.613	266.022.480	386.085.010	650.771.465
