Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R1	Late_Gilteritinib_MOLM14_R1	Early_Gilteritinib_MOLM14_FGF2_R1	Late_Gilteritinib_MOLM14_FGF2_R2	Early_Gilteritinib_MOLM14_FGF2_R2	Late_Gilteritinib_MOLM14_FGF2_R3	parental_MOLM14_R2	Early_Gilteritinib_MOLM14_FGF2_R3	Late_Gilteritinib_MOLM14_FGF2_R4	Early_Gilteritinib_MOLM14_FGF2_R4	Pool01
sp|Q9Y4K1|CRBG1_HUMAN	Q9Y4K1	CRBG1_HUMAN	CRYBG1	1723	Homo sapiens	Beta/gamma crystallin domain-containing protein 1	1:Experimental evidence at protein level	22.46	10.000	0.9990	31	31	31	55	55	55	187981000	187981000	187981000	10K(229.1629), 11K(229.1629), 12K(229.1629), 13C(57.0214), 14K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 1K(229.1629), 21K(229.1629), 22K(229.1629), 2C(57.0214), 2K(229.1629), 3C(57.0214), 6C(57.0214), 7K(229.1629), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692)			17.395.687.911	18.181.674.802	9.960.691.121	22.220.551.188	14.667.662.820	21.113.780.588	24.390.253.474	15.769.359.952	23.504.249.070	18.491.010.323	24.207.956.398
sp|Q9Y4K3|TRAF6_HUMAN	Q9Y4K3	TRAF6_HUMAN	TRAF6	522	Homo sapiens	TNF receptor-associated factor 6	1:Experimental evidence at protein level	26.82	10.000	0.9990	9	9	9	23	23	23	148757768	148757768	148757768	10M(15.9949), 11C(57.0214), 14C(57.0214), 16K(229.1629), 17C(57.0214), 18C(57.0214), 1C(57.0214), 20K(229.1629), 25C(57.0214), 28K(229.1629), 3C(57.0214), 6C(57.0214), 7C(57.0214), 9C(57.0214), 9K(229.1629), N-term(229.1692)			7.806.661.763	8.799.156.257	9.255.657.202	11.963.631.155	11.501.409.775	11.519.472.269	12.715.600.220	11.629.810.124	12.370.933.356	11.124.684.088	16.614.535.278
sp|Q9Y4K4|M4K5_HUMAN	Q9Y4K4	M4K5_HUMAN	MAP4K5	846	Homo sapiens	Mitogen-activated protein kinase kinase kinase kinase 5	1:Experimental evidence at protein level	16.08	10.000	0.9990	13	12	13	16	15	16	44233514	44233514	44233514	10K(229.1629), 11K(229.1629), 13K(229.1629), 18K(229.1629), 1K(229.1629), 2C(57.0214), 5C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1692)			3.684.889.639	3.866.714.927	2.726.431.592	4.101.514.331	3.950.691.992	4.117.044.048	5.415.632.788	3.659.420.337	4.613.924.116	3.177.830.571	6.116.325.562
sp|Q9Y4L1|HYOU1_HUMAN	Q9Y4L1	HYOU1_HUMAN	HYOU1	999	Homo sapiens	Hypoxia up-regulated protein 1	1:Experimental evidence at protein level	44.74	10.000	0.9990	40	40	40	104	104	104	828357792	828357792	828357792	10C(57.0214), 10K(229.1629), 10M(15.9949), 11K(229.1629), 12K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 19K(229.1629), 19M(15.9949), 1K(229.1629), 21K(229.1629), 23K(229.1629), 2C(57.0214), 2K(229.1629), 2M(15.9949), 4K(229.1629), 5K(229.1629), 6K(229.1629), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1692)			55.589.772.490	64.004.623.873	44.372.831.228	68.211.430.874	61.754.112.224	57.383.839.640	79.162.789.265	49.752.171.097	66.283.714.802	40.532.559.657	110.302.937.246
sp|Q9Y4P1|ATG4B_HUMAN	Q9Y4P1	ATG4B_HUMAN	ATG4B	393	Homo sapiens	Cysteine protease ATG4B	1:Experimental evidence at protein level	23.92	10.000	0.9990	7	7	7	11	11	11	102752350	102752350	102752350	12C(57.0214), 13K(229.1629), 18K(229.1629), 1C(57.0214), 20K(229.1629), 7K(229.1629), 9C(57.0214), N-term(229.1692)			4.433.399.424	4.116.286.160	3.645.108.474	4.068.545.557	4.886.289.099	4.021.729.839	5.764.542.573	4.023.707.764	4.835.193.333	3.989.062.229	6.478.575.215
sp|Q9Y4P3|TBL2_HUMAN	Q9Y4P3	TBL2_HUMAN	TBL2	447	Homo sapiens	Transducin beta-like protein 2	1:Experimental evidence at protein level	47.87	10.000	0.9990	18	18	18	35	35	35	167914648	167914648	167914648	10K(229.1629), 13C(57.0214), 13K(229.1629), 16K(229.1629), 17K(229.1629), 1K(229.1629), 22C(57.0214), 2K(229.1629), 5C(57.0214), 6C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			22.840.509.178	23.670.448.689	14.662.520.938	29.634.643.400	22.987.220.378	28.539.672.499	30.540.585.117	16.831.590.151	30.846.383.619	14.711.910.596	38.522.478.418
sp|Q9Y4P8|WIPI2_HUMAN	Q9Y4P8	WIPI2_HUMAN	WIPI2	454	Homo sapiens	WD repeat domain phosphoinositide-interacting protein 2	1:Experimental evidence at protein level	26.87	10.000	0.9990	6	5	6	14	13	14	455863110	443788268	455863110	10K(229.1629), 14C(57.0214), 16K(229.1629), 19C(57.0214), 2K(229.1629), 32K(229.1629), 3C(57.0214), 3M(15.9949), 7K(229.1629), N-term(229.1692)			4.640.487.310	5.775.236.010	4.243.944.348	5.530.146.171	6.137.947.566	5.291.319.441	7.101.779.661	4.204.021.221	5.805.036.135	3.440.263.098	7.048.658.169
sp|Q9Y4R8|TELO2_HUMAN	Q9Y4R8	TELO2_HUMAN	TELO2	837	Homo sapiens	Telomere length regulation protein TEL2 homolog	1:Experimental evidence at protein level	15.65	10.000	0.9990	10	10	10	15	15	15	74519112	74519112	74519112	15K(229.1629), 17C(57.0214), 23K(229.1629), 6C(57.0214), 8C(57.0214), 9K(229.1629), N-term(229.1692)			3.121.194.424	4.088.084.165	3.556.987.798	4.185.453.066	4.896.555.579	4.392.862.593	5.119.992.817	4.199.834.268	4.197.092.583	4.473.493.658	6.216.960.215
sp|Q9Y4W2|LAS1L_HUMAN	Q9Y4W2	LAS1L_HUMAN	LAS1L	734	Homo sapiens	Ribosomal biogenesis protein LAS1L	1:Experimental evidence at protein level	27.79	10.000	0.9990	15	15	15	35	35	35	295487472	295487472	295487472	10C(57.0214), 10K(229.1629), 11K(229.1629), 13K(229.1629), 14K(229.1629), 18K(229.1629), 19K(229.1629), 25K(229.1629), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692)			20.345.912.280	19.769.222.168	12.857.290.613	22.127.067.588	18.175.278.682	18.911.893.784	27.332.672.217	13.267.879.966	22.788.659.658	11.689.826.895	27.969.433.467
sp|Q9Y4W6|AFG32_HUMAN	Q9Y4W6	AFG32_HUMAN	AFG3L2	797	Homo sapiens	AFG3-like protein 2	1:Experimental evidence at protein level	36.76	10.000	0.9990	28	27	27	71	70	70	578447688	578447688	578447688	10K(229.1629), 11K(229.1629), 12K(229.1629), 14K(229.1629), 14M(15.9949), 15K(229.1629), 17C(57.0214), 17K(229.1629), 1K(229.1629), 2C(57.0214), 2K(229.1629), 2M(15.9949), 3K(229.1629), 3M(15.9949), 4C(57.0214), 5C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			43.538.426.360	46.393.780.901	34.470.875.891	47.236.551.008	47.603.283.540	43.935.817.559	55.110.438.291	38.301.103.042	47.355.888.281	41.933.045.083	66.190.121.748
sp|Q9Y4X0|AMMR1_HUMAN	Q9Y4X0	AMMR1_HUMAN	AMMECR1	333	Homo sapiens	Nuclear protein AMMECR1	1:Experimental evidence at protein level	6.01	10.000	0.9990	2	1	2	2	1	2	12653803	0	12653803	11K(229.1629), 9K(229.1629), N-term(229.1692)			486.303.789	910.820.547	828.958.750	640.513.242	1.035.305.000	914.350.859	915.940.156	871.649.922	627.189.805	870.882.266	1.014.019.297
sp|Q9Y4X5|ARI1_HUMAN	Q9Y4X5	ARI1_HUMAN	ARIH1	557	Homo sapiens	E3 ubiquitin-protein ligase ARIH1	1:Experimental evidence at protein level	31.42	10.000	0.9990	14	14	14	27	27	27	586426456	586426456	586426456	10K(229.1629), 11C(57.0214), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 17C(57.0214), 17K(229.1629), 1C(57.0214), 1K(229.1629), 25C(57.0214), 28K(229.1629), 2C(57.0214), 4C(57.0214), 5C(57.0214), 7C(57.0214), 7K(229.1629), 7M(15.9949), 8C(57.0214), 8K(229.1629), 9C(57.0214), N-term(229.1692)			10.940.956.202	9.602.561.035	7.887.801.792	11.003.858.206	12.080.519.713	10.228.402.141	15.519.120.266	10.146.503.589	11.073.252.633	7.434.098.932	16.598.907.311
sp|Q9Y4Y9|LSM5_HUMAN	Q9Y4Y9	LSM5_HUMAN	LSM5	91	Homo sapiens	U6 snRNA-associated Sm-like protein LSm5	1:Experimental evidence at protein level	46.15	10.000	0.9990	2	2	2	16	16	16	370483362	370483362	370483362	13M(15.9949), 19K(229.1629), N-term(229.1692), N-term(42.0106)			5.401.504.358	5.072.379.939	5.464.589.139	7.077.604.409	6.735.026.909	6.948.757.571	7.781.405.784	7.713.627.219	5.967.081.919	6.931.083.201	8.854.094.297
sp|Q9Y4Z0|LSM4_HUMAN	Q9Y4Z0	LSM4_HUMAN	LSM4	139	Homo sapiens	U6 snRNA-associated Sm-like protein LSm4	1:Experimental evidence at protein level	51.80	10.000	0.9990	8	8	8	48	48	48	1073817184	1073817184	1073817184	10K(229.1629), 11K(229.1629), 11M(15.9949), 12C(57.0214), 12K(229.1629), 13K(229.1629), 16M(15.9949), 4C(57.0214), 7M(15.9949), 8K(229.1629), N-term(229.1692), N-term(42.0106)			44.739.995.793	58.169.469.409	43.896.855.082	53.784.111.208	52.853.206.318	57.986.376.846	60.611.674.614	40.685.293.657	55.561.927.637	40.650.545.859	84.464.390.312
sp|Q9Y508|RN114_HUMAN	Q9Y508	RN114_HUMAN	RNF114	228	Homo sapiens	E3 ubiquitin-protein ligase RNF114	1:Experimental evidence at protein level	64.04	10.000	0.9990	13	13	13	33	33	33	378258200	378258200	378258200	10C(57.0214), 10K(229.1629), 10M(15.9949), 11C(57.0214), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13C(57.0214), 14C(57.0214), 14K(229.1629), 16K(229.1629), 18C(57.0214), 1K(229.1629), 20K(229.1629), 23C(57.0214), 26C(57.0214), 2C(57.0214), 32K(229.1629), 3C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 6M(15.9949), 7C(57.0214), 8C(57.0214), 8K(229.1629), 9C(57.0214), N-term(229.1692)			18.783.051.909	23.980.390.403	16.262.582.488	25.281.158.145	21.975.965.513	25.296.618.384	28.218.191.360	17.863.658.025	26.417.099.727	18.536.439.697	34.737.809.146
sp|Q9Y512|SAM50_HUMAN	Q9Y512	SAM50_HUMAN	SAMM50	469	Homo sapiens	Sorting and assembly machinery component 50 homolog	1:Experimental evidence at protein level	35.61	10.000	0.9990	17	17	17	40	40	40	902090656	902090656	902090656	12K(229.1629), 13K(229.1629), 15K(229.1629), 16K(229.1629), 21K(229.1629), 29K(229.1629), 2K(229.1629), 6C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 8M(15.9949), N-term(229.1692)			25.718.248.740	27.644.266.946	21.505.748.367	35.673.031.270	23.486.207.849	28.845.671.785	32.083.729.907	21.526.060.330	28.884.907.744	26.121.874.976	42.431.461.445
sp|Q9Y520|PRC2C_HUMAN	Q9Y520	PRC2C_HUMAN	PRRC2C	2896	Homo sapiens	Protein PRRC2C	1:Experimental evidence at protein level	25.28	10.000	0.9990	65	62	65	113	109	113	245620832	231546152	245620832	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 17K(229.1629), 19K(229.1629), 1K(229.1629), 20K(229.1629), 27K(229.1629), 29K(229.1629), 2K(229.1629), 2M(15.9949), 35K(229.1629), 3K(229.1629), 4C(57.0214), 4K(229.1629), 6K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			81.640.078.385	63.619.822.761	53.830.105.223	72.777.478.087	73.659.466.183	72.139.554.926	114.555.870.808	59.290.515.005	77.582.475.642	53.349.813.054	106.649.990.042
sp|Q9Y530|OARD1_HUMAN	Q9Y530	OARD1_HUMAN	OARD1	152	Homo sapiens	ADP-ribose glycohydrolase OARD1	1:Experimental evidence at protein level	32.24	10.000	0.9990	6	6	6	14	14	14	690064608	690064608	690064608	12K(229.1629), 13K(229.1629), 1K(229.1629), 6C(57.0214), 8K(229.1629), N-term(229.1692), N-term(42.0106)			10.875.485.293	15.448.193.340	10.781.643.965	22.209.186.348	12.586.758.457	20.226.471.602	17.033.779.893	10.342.428.408	24.896.245.918	7.099.385.781	20.507.218.223
sp|Q9Y535|RPC8_HUMAN	Q9Y535	RPC8_HUMAN	POLR3H	204	Homo sapiens	DNA-directed RNA polymerase III subunit RPC8	1:Experimental evidence at protein level	7.84	10.000	0.9990	1	1	1	3	3	3	62017828	62017828	62017828	16K(229.1629), N-term(229.1692)			2.300.835.088	2.554.857.949	2.637.280.967	2.867.104.297	3.649.139.170	2.994.749.531	3.661.919.219	3.053.241.963	3.675.535.996	3.596.041.172	4.560.779.688
sp|Q9Y546|LRC42_HUMAN	Q9Y546	LRC42_HUMAN	LRRC42	428	Homo sapiens	Leucine-rich repeat-containing protein 42	1:Experimental evidence at protein level	4.67	10.000	0.9990	2	2	2	2	2	2	5876976	5876976	5876976	10C(57.0214), 11K(229.1629), 4C(57.0214), 7K(229.1629), 9C(57.0214), N-term(229.1692)			314.777.402	427.657.598	282.286.211	407.067.168	451.917.549	541.674.297	442.364.355	474.861.055	476.934.043	448.638.242	559.627.383
sp|Q9Y547|IFT25_HUMAN	Q9Y547	IFT25_HUMAN	IFT25	144	Homo sapiens	Intraflagellar transport protein 25 homolog	1:Experimental evidence at protein level	8.33	10.000	0.9990	1	1	1	1	1	1	17809116	17809116	17809116	12K(229.1629), N-term(229.1692)			254.809.531	247.934.258	327.989.844	329.689.258	283.931.504	281.632.852	344.883.398	285.887.441	253.653.105	141.044.072	497.774.648
sp|Q9Y566|SHAN1_HUMAN	Q9Y566	SHAN1_HUMAN	SHANK1	2161	Homo sapiens	SH3 and multiple ankyrin repeat domains protein 1	1:Experimental evidence at protein level	2.45	10.000	0.9990	3	3	3	3	3	3	4322080	4322080	4322080	11K(229.1629), N-term(229.1692)			306.783.685	383.015.085	211.920.590	452.724.639	300.248.091	471.880.684	352.179.568	356.952.480	454.227.312	323.151.953	427.100.830
sp|Q9Y570|PPME1_HUMAN	Q9Y570	PPME1_HUMAN	PPME1	386	Homo sapiens	Protein phosphatase methylesterase 1	1:Experimental evidence at protein level	41.45	10.000	0.9990	15	15	15	40	40	40	289577112	289577112	289577112	10C(57.0214), 10K(229.1629), 11K(229.1629), 12K(229.1629), 15C(57.0214), 18K(229.1629), 22K(229.1629), 2C(57.0214), 3M(15.9949), 4M(15.9949), 7K(229.1629), 7M(15.9949), 8K(229.1629), N-term(229.1692)			13.885.698.799	16.400.663.876	13.654.424.281	20.555.411.445	17.918.959.902	17.979.868.196	21.861.312.700	15.456.473.015	19.404.688.992	15.780.065.701	25.535.404.160
sp|Q9Y572|RIPK3_HUMAN	Q9Y572	RIPK3_HUMAN	RIPK3	518	Homo sapiens	Receptor-interacting serine/threonine-protein kinase 3	1:Experimental evidence at protein level	22.78	10.000	0.9990	8	8	8	13	13	13	69586893	69586893	69586893	11K(229.1629), 12K(229.1629), 14K(229.1629), 15C(57.0214), 16C(57.0214), 23C(57.0214), 23K(229.1629), 8K(229.1629), N-term(229.1692)			4.481.448.689	4.608.430.098	3.393.392.329	4.360.496.086	5.158.762.620	4.728.294.087	5.010.172.061	4.237.470.044	5.461.236.094	6.399.815.305	7.180.908.005
sp|Q9Y580|RBM7_HUMAN	Q9Y580	RBM7_HUMAN	RBM7	266	Homo sapiens	RNA-binding protein 7	1:Experimental evidence at protein level	53.01	10.000	0.9990	11	11	11	23	23	23	174383712	174383712	174383712	16K(229.1629), 18K(229.1629), 19K(229.1629), 2M(15.9949), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			13.616.839.519	16.103.796.257	12.113.326.199	19.165.845.654	16.234.309.951	17.227.960.251	20.891.659.624	15.729.557.935	17.676.582.798	10.126.410.786	35.424.965.176
sp|Q9Y584|TIM22_HUMAN	Q9Y584	TIM22_HUMAN	TIMM22	194	Homo sapiens	Mitochondrial import inner membrane translocase subunit Tim22	1:Experimental evidence at protein level	29.90	10.000	0.9990	3	3	3	5	5	5	77157851	77157851	77157851	15K(229.1629), 35K(229.1629), 5C(57.0214), 8K(229.1629), N-term(229.1692), N-term(42.0106)			1.392.415.859	1.059.124.950	1.026.032.063	1.303.942.117	1.174.305.771	1.026.334.375	1.586.366.392	924.753.730	1.298.450.422	816.132.937	1.982.930.698
sp|Q9Y587|AP4S1_HUMAN	Q9Y587	AP4S1_HUMAN	AP4S1	144	Homo sapiens	AP-4 complex subunit sigma-1	1:Experimental evidence at protein level	6.25	10.000	0.9990	1	1	1	1	1	1	0	0	0	9K(229.1629), N-term(229.1692)			282.473.887	338.268.398	295.193.301	367.668.750	334.278.398	361.648.672	414.718.555	211.646.992	386.656.914	135.482.061	447.805.664
sp|Q9Y592|CEP83_HUMAN	Q9Y592	CEP83_HUMAN	CEP83	701	Homo sapiens	Centrosomal protein of 83 kDa	1:Experimental evidence at protein level	1.85	10.000	0.9990	1	1	1	1	1	1	3155199	3155199	3155199	13K(229.1629), N-term(229.1692)			210.732.090	277.914.258	102.143.633	290.456.875	151.136.182	219.972.480	319.287.090	137.368.047	230.134.707	117.064.092	263.331.133
sp|Q9Y5A7|NUB1_HUMAN	Q9Y5A7	NUB1_HUMAN	NUB1	615	Homo sapiens	NEDD8 ultimate buster 1	1:Experimental evidence at protein level	32.20	10.000	0.9990	17	17	17	33	33	33	169385560	169385560	169385560	12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 2C(57.0214), 5K(229.1629), 6C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9C(57.0214), N-term(229.1692)			16.574.528.645	18.087.615.884	12.297.357.869	19.698.209.253	19.003.086.152	19.477.632.026	21.780.218.809	14.268.365.225	21.112.926.914	11.152.462.949	25.720.558.975
sp|Q9Y5A9|YTHD2_HUMAN	Q9Y5A9	YTHD2_HUMAN	YTHDF2	579	Homo sapiens	YTH domain-containing family protein 2	1:Experimental evidence at protein level	27.98	10.000	0.9990	16	11	12	41	27	30	478246912	291572096	478246912	10K(229.1629), 11K(229.1629), 12K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 5C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			49.012.348.555	53.734.671.270	45.569.635.068	55.176.490.352	57.502.346.982	51.528.121.621	77.639.983.203	46.826.191.943	51.180.484.521	50.074.926.611	81.533.730.479
sp|Q9Y5B0|CTDP1_HUMAN	Q9Y5B0	CTDP1_HUMAN	CTDP1	961	Homo sapiens	RNA polymerase II subunit A C-terminal domain phosphatase	1:Experimental evidence at protein level	27.26	10.000	0.9990	20	20	20	42	42	42	253543168	253543168	253543168	10K(229.1629), 11K(229.1629), 13K(229.1629), 14K(229.1629), 16K(229.1629), 21K(229.1629), 3C(57.0214), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			15.890.464.321	16.241.449.902	14.668.343.221	18.409.237.134	18.104.156.963	17.862.955.562	21.958.855.801	16.531.236.479	19.265.976.304	17.549.026.143	26.940.119.873
sp|Q9Y5B6|PAXB1_HUMAN	Q9Y5B6	PAXB1_HUMAN	PAXBP1	917	Homo sapiens	PAX3- and PAX7-binding protein 1	1:Experimental evidence at protein level	28.24	10.000	0.9990	22	22	22	29	29	29	121070120	121070120	121070120	10K(229.1629), 12K(229.1629), 14C(57.0214), 14K(229.1629), 15K(229.1629), 16K(229.1629), 18K(229.1629), 5C(57.0214), 6K(229.1629), 7K(229.1629), 8K(229.1629), 9C(57.0214), N-term(229.1692)			14.970.533.760	14.948.295.518	9.913.788.901	17.926.491.973	14.368.741.731	16.130.425.403	19.699.044.038	10.950.293.187	17.624.620.745	12.861.339.470	21.605.991.899
sp|Q9Y5B8|NDK7_HUMAN	Q9Y5B8	NDK7_HUMAN	NME7	376	Homo sapiens	Nucleoside diphosphate kinase 7	1:Experimental evidence at protein level	24.47	10.000	0.9990	8	8	8	18	18	18	84142820	84142820	84142820	10K(229.1629), 12C(57.0214), 12K(229.1629), 14K(229.1629), 19K(229.1629), 6K(229.1629), 7K(229.1629), N-term(229.1692)			5.427.189.795	7.278.167.710	4.559.091.245	8.151.025.244	7.063.207.832	7.107.678.945	7.629.721.069	5.660.347.444	7.860.038.762	5.608.987.024	8.946.949.829
sp|Q9Y5B9|SP16H_HUMAN	Q9Y5B9	SP16H_HUMAN	SUPT16H	1047	Homo sapiens	FACT complex subunit SPT16	1:Experimental evidence at protein level	52.91	10.000	0.9990	58	58	58	178	178	178	1633824096	1633824096	1633824096	10C(57.0214), 10K(229.1629), 11K(229.1629), 12K(229.1629), 12M(15.9949), 13C(57.0214), 13K(229.1629), 14K(229.1629), 17K(229.1629), 1K(229.1629), 20K(229.1629), 22K(229.1629), 25K(229.1629), 27K(229.1629), 2C(57.0214), 2K(229.1629), 3C(57.0214), 3K(229.1629), 3M(15.9949), 4M(15.9949), 5C(57.0214), 5M(15.9949), 6K(229.1629), 7K(229.1629), 7M(15.9949), 8K(229.1629), 8M(15.9949), 9K(229.1629), 9M(15.9949), N-term(229.1692)			92.485.192.322	113.088.458.618	77.107.220.030	121.095.183.645	108.614.270.385	115.666.956.152	134.151.863.622	81.766.681.229	129.249.337.932	73.176.902.727	178.680.833.201
sp|Q9Y5J1|UTP18_HUMAN	Q9Y5J1	UTP18_HUMAN	UTP18	556	Homo sapiens	U3 small nucleolar RNA-associated protein 18 homolog	1:Experimental evidence at protein level	47.66	10.000	0.9990	20	20	20	45	45	45	237051832	237051832	237051832	10K(229.1629), 11K(229.1629), 17K(229.1629), 18K(229.1629), 1C(57.0214), 1K(229.1629), 27K(229.1629), 2C(57.0214), 5K(229.1629), 7C(57.0214), 7K(229.1629), 8M(15.9949), N-term(229.1692)			38.694.063.452	36.582.343.221	25.114.451.274	40.828.099.834	34.005.349.989	34.322.405.525	49.062.345.083	24.553.215.593	40.388.333.440	22.795.106.079	52.741.096.130
sp|Q9Y5J6|T10B_HUMAN	Q9Y5J6	T10B_HUMAN	TIMM10B	103	Homo sapiens	Mitochondrial import inner membrane translocase subunit Tim10 B	1:Experimental evidence at protein level	49.51	10.000	0.9990	4	4	4	12	12	12	55042608	55042608	55042608	1C(57.0214), N-term(229.1692)			2.076.205.386	2.170.378.071	2.522.805.474	2.772.556.494	2.535.058.867	2.551.431.313	3.323.706.357	2.573.544.622	2.534.903.174	2.403.606.541	3.898.151.943
sp|Q9Y5J7|TIM9_HUMAN	Q9Y5J7	TIM9_HUMAN	TIMM9	89	Homo sapiens	Mitochondrial import inner membrane translocase subunit Tim9	1:Experimental evidence at protein level	77.53	10.000	0.9990	6	6	6	15	15	15	510710320	510710320	510710320	11K(229.1629), 13C(57.0214), 15K(229.1629), 16K(229.1629), 3K(229.1629), 5C(57.0214), 8K(229.1629), 9C(57.0214), N-term(229.1692), N-term(42.0106)			12.279.999.941	17.274.421.973	9.974.497.158	19.241.701.426	12.531.500.332	15.587.613.535	14.912.073.223	11.120.979.883	19.241.665.078	9.317.546.050	22.280.460.098
sp|Q9Y5J9|TIM8B_HUMAN	Q9Y5J9	TIM8B_HUMAN	TIMM8B	83	Homo sapiens	Mitochondrial import inner membrane translocase subunit Tim8 B	1:Experimental evidence at protein level	51.81	10.000	0.9990	3	3	3	5	5	5	135781450	135781450	135781450	21K(229.1629), 4C(57.0214), 8C(57.0214), N-term(229.1692), N-term(42.0106)			3.430.570.820	2.417.175.996	2.012.061.787	2.032.017.637	2.377.386.182	2.010.139.648	2.792.949.209	1.663.390.762	2.609.026.465	1.504.028.047	3.485.346.855
sp|Q9Y5K5|UCHL5_HUMAN	Q9Y5K5	UCHL5_HUMAN	UCHL5	329	Homo sapiens	Ubiquitin carboxyl-terminal hydrolase isozyme L5	1:Experimental evidence at protein level	62.01	10.000	0.9990	17	17	17	52	52	52	505950752	505950752	505950752	10M(15.9949), 11K(229.1629), 14K(229.1629), 16M(15.9949), 17C(57.0214), 17K(229.1629), 22K(229.1629), 23K(229.1629), 24K(229.1629), 26K(229.1629), 32K(229.1629), 4K(229.1629), 8C(57.0214), 8K(229.1629), 8M(15.9949), 9C(57.0214), N-term(229.1692), N-term(42.0106)			20.855.652.832	20.766.498.386	15.648.064.182	25.464.032.593	20.973.364.990	23.542.386.049	32.096.859.209	19.806.415.105	25.827.404.380	22.106.295.592	32.440.169.482
sp|Q9Y5K6|CD2AP_HUMAN	Q9Y5K6	CD2AP_HUMAN	CD2AP	639	Homo sapiens	CD2-associated protein	1:Experimental evidence at protein level	45.23	10.000	0.9990	25	24	25	49	48	49	228046764	228046764	228046764	10K(229.1629), 11K(229.1629), 13K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 1K(229.1629), 25K(229.1629), 2K(229.1629), 5K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			29.378.747.393	28.672.675.186	23.912.716.003	36.440.453.018	36.645.791.904	34.150.961.812	44.916.802.861	26.059.113.403	39.007.696.499	21.672.168.140	52.483.663.418
sp|Q9Y5K8|VATD_HUMAN	Q9Y5K8	VATD_HUMAN	ATP6V1D	247	Homo sapiens	V-type proton ATPase subunit D	1:Experimental evidence at protein level	51.01	10.000	0.9990	11	11	11	19	19	19	302784100	302784100	302784100	10K(229.1629), 16K(229.1629), 17K(229.1629), 1K(229.1629), N-term(229.1692)			4.981.386.719	7.195.318.228	4.056.239.104	9.050.403.511	5.837.162.905	6.969.723.594	6.958.091.909	6.197.559.839	7.427.724.844	4.628.536.807	10.693.589.854
sp|Q9Y5L0|TNPO3_HUMAN	Q9Y5L0	TNPO3_HUMAN	TNPO3	923	Homo sapiens	Transportin-3	1:Experimental evidence at protein level	32.83	10.000	0.9990	24	24	24	45	45	45	393215176	393215176	393215176	11K(229.1629), 12K(229.1629), 14C(57.0214), 14K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 22K(229.1629), 27K(229.1629), 3C(57.0214), 4C(57.0214), 5K(229.1629), 6C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			19.742.524.478	23.687.216.270	18.534.545.461	26.790.051.653	24.943.395.623	25.216.666.602	31.426.706.423	20.876.566.853	26.215.512.490	21.777.990.935	36.076.470.859
